Hostname,Label,Vod,Live,Situação
gca-vivo-spsjcrh001,edge-vivo-sjc-sp,vod-01.edge-vivo-sjc-sp.video.globo.com,live-01.edge-vivo-sjc-sp.video.globo.com,Produção
gca-vivo-prmgajv001,edge-vivo-mgf-pr,vod-01.edge-vivo-mgf-pr.video.globo.com,live-01.edge-vivo-mgf-pr.video.globo.com,Desativado
gca-vivo-spose001,edge-vivo-se-sp,vod-01.edge-vivo-se-sp.video.globo.com,live-01.edge-vivo-se-sp.video.globo.com,Produção
gca-vivo-spose002,edge-vivo-se-sp,vod-02.edge-vivo-se-sp.video.globo.com,live-02.edge-vivo-se-sp.video.globo.com,Produção
gca-vivo-ulaudi001,edge-vivo-udi-mg,vod-01.edge-vivo-udi-mg.video.globo.com,live-01.edge-vivo-udi-mg.video.globo.com,Produção
gca-vivo-almcz001,edge-vivo-mcz-al,vod-01.edge-vivo-mcz-al.video.globo.com,live-01.edge-vivo-mcz-al.video.globo.com,Desativado
gca-vivo-brubac001,edge-vivo-jtc-sp,vod-01.edge-vivo-jtc-sp.video.globo.com,live-01.edge-vivo-jtc-sp.video.globo.com,Produção
gca-vivo-snesan001,edge-vivo-sne-sp,vod-01.edge-vivo-sne-sp.video.globo.com,live-01.edge-vivo-sne-sp.video.globo.com,Produção
gca-vivo-vdrvrd001,edge-vivo-vrd-rj,vod-01.edge-vivo-vrd-rj.video.globo.com,live-01.edge-vivo-vrd-rj.video.globo.com,Produção
gca-vivo-spojg003,edge-vivo-jg-sp,vod-03.edge-vivo-jg-sp.video.globo.com,live-03.edge-vivo-jg-sp.video.globo.com,Produção
gca-its-bassa001,edge-its-ssa-ba,vod-01.edge-its-ssa-ba.video.globo.com,live-01.edge-its-ssa-ba.video.globo.com,Produção
gca-lpnetlpsp-001,edge-lpnet-qgc-sp,vod-01.edge-lpnet-qgc-sp.video.globo.com,live-01.edge-lpnet-qgc-sp.video.globo.com,Produção
gca-master-mgmoc001,edge-master-moc-sp,vod-01.edge-master-moc-sp.video.globo.com,live-01.edge-master-moc-sp.video.globo.com,Produção
gca-mhnet-cpsc001,edge-mhnet-xap-sc,vod-01.edge-mhnet-xap-sc.video.globo.com,live-01.edge-mhnet-xap-sc.video.globo.com,Produção
gca-eletronet-spgran001,edge-elet-cgh-sp,vod-01.edge-elet-cgh-sp.video.globo.com,live-01.edge-elet-cgh-sp.video.globo.com,Desativado
gca-mhnet-pas001,edge-mhnet-pfb-rs,vod-01.edge-mhnet-pfb-rs.video.globo.com,live-01.edge-mhnet-pfb-rs.video.globo.com,Produção
gca-mob-ceunq001,edge-mob-jod-ce,vod-01.edge-mob-jod-ce.video.globo.com,live-01.edge-mob-jod-ce.video.globo.com,Produção
gca-nbs-pvodpd001,edge-nbs-pvh-ro,vod-01.edge-nbs-pvh-ro.video.globo.com,live-01.edge-nbs-pvh-ro.video.globo.com,Produção
gca-mob-cebcdc001,edge-mob-qbx-ce,vod-01.edge-mob-qbx-ce.video.globo.com,live-01.edge-mob-qbx-ce.video.globo.com,Produção
gca-nbs-pbwcnt001,edge-nbs-pbu-ro,vod-01.edge-nbs-pbu-ro.video.globo.com,live-01.edge-nbs-pbu-ro.video.globo.com,Desativado
